Year,Ocak,Şubat,Mart,Nisan,Mayıs,Haziran,Temmuz,Ağustos,Eylül,Ekim,Kasım,Aralık,TOPLAM
2010,9281936,14323352,25915636,15926522,14188774,15068522,17309024,20215466,21871886,29612129,11647157,19053885,214414289
2011,19346402,20329077,32081296,26740825,22419763,22423459,21249442,26546884,26722219,29340564,23265533,18728518,289193982
2012,23435121,22177720,24285526,24000660,25595204,29060366,25322979,26647701,26529381,23275723,25102493,17824950,293257824
2013,21387430,20635649,26367729,26233039,28613213,21146194,27998633,28716038,39253990,35044838,30192038,24428614,330017405
2014,24564793,23365325,26283799,28946857,28756096,26916476,27434442,33312194,42894604,32029123,25174409,24727281,344405399
2015,23920638,22411110,30918228,30196581,33697003,31348369,31038134,40156478,36649970,50171614,29152776,24393462,384054363
2016,21162147,26876728,31628880,29283982,36986195,40038675,31513679,45239694,47688672,41991518,27342352,24365771,404118293
2017,22239379,24066819,34074443,27739274,40545013,34454905,34037500,53138267,45585551,40006183,25993915,25857759,407739008
2018,26159139,25712491,33269662,28130594,25659786,33138683,42786586,48340559,53063735,42085636,29579804,22714630,410641305
2019,23816098,23628654,23723511,27312964,26957340,34072195,55121271,47759041,56458626,44155154,29019443,31578531,423602828
2020,32764039,31611619,33075479,22805170,23588060,50665889,61044735,43947287,48516027,35701935,26865785,22627607,433213632
2021,26490859,26620568,33876984,31254600,22980168,41798817,48109499,52845028,63065542,36601170,31216993,23819636,438679864
2022,28414433,30399374,27962978,25000302,17939828,56976068,73433439,65320923,74472818,44448521,28252790,32552687,380296402
